Duty Date,Duty Category,Duty Type
2013-07-18,OFF,XX
2013-07-19,LVE,LV
2013-07-20,LVE,LV
2013-07-21,LVE,LV
2013-07-22,LVE,LV
2013-07-23,LVE,LV
2013-07-24,LVE,LV
2013-07-25,LVE,LV
2013-07-26,OFF,XX
2013-07-27,OFF,XX
2013-07-28,REST,REST
2013-08-01,REST,REST
2013-08-04,OFF,XX
2013-08-05,OFF,XX
2013-08-06,OFF,XX
2013-08-10,OFF,XX
2013-08-11,OFF,XX
2013-08-15,REST,REST
2013-08-19,OFF,XX
2013-08-23,OFF,XX
2013-08-24,OFF,XX
2013-08-28,REST,REST
2013-08-31,OFF,XX
2013-09-01,OFF,XX
2013-09-02,OFF,XXR
2013-09-03,SCK,SK
2013-09-04,SCK,SK
2013-09-05,SCK,SK
2013-09-06,OFF,XX
2013-09-07,OFF,XX
2013-09-08,OFF,XX
2013-09-09,OFF,XX
2013-09-10,OFF,XX
2013-09-14,OFF,XX
2013-09-15,OFF,XX
2013-09-22,OFF,XX
2013-09-23,OFF,XXV
2013-09-24,OFF,XXV
2013-09-25,OFF,XXV
2013-09-26,REST,REST
2013-09-30,OFF,XXR
2013-10-01,OFF,XX
2013-10-02,OFF,XX
2013-10-09,OFF,XX
2013-10-13,OFF,XX
2013-10-14,OFF,XX
2013-10-15,OFF,XX
2013-10-16,LVE,LV
2013-10-17,LVE,LV
2013-10-18,LVE,LV
2013-10-19,LVE,LV
2013-10-20,LVE,LV
2013-10-21,LVE,LV
2013-10-22,LVE,LV
2013-10-23,LVE,LV
2013-10-24,OFF,XX
2013-10-25,OFF,XX
2013-10-26,REST,REST
2013-10-29,REST,REST
2013-11-01,OFF,XX
2013-11-02,OFF,XX
2013-11-03,OFF,XX
2013-11-10,OFF,XX
2013-11-11,OFF,XX
2013-11-12,SCK,SK
2013-11-13,REST,REST
2013-11-14,SBY,SQ04
2013-11-15,REST,REST
2013-11-19,OFF,XX
2013-11-20,OFF,XX
2013-11-21,OFF,XX
2013-11-24,REST,REST
2013-11-27,OFF,XX
2013-11-28,OFF,XX
2013-12-02,REST,REST
2013-12-06,OFF,XX
2013-12-07,OFF,XX
2013-12-12,OFF,XX
2013-12-13,OFF,XX
2013-12-17,OFF,XX
2013-12-24,OFF,XX
2013-12-25,OFF,XX
2013-12-26,OFF,XX
2013-12-27,REST,REST
2013-12-31,OFF,XX
2014-01-04,OFF,XX
2014-01-07,OFF,XXR
2014-01-08,OFF,XX
2014-01-09,OFF,XX
2014-01-10,SCK,SK
2014-01-11,REST,REST
2014-01-15,OFF,XX
2014-01-19,OFF,XX
2014-01-23,OFF,XX
2014-01-24,OFF,XX
2014-01-27,OFF,XX
2014-01-31,OFF,XX
2014-02-01,LVE,LV
2014-02-02,LVE,LV
2014-02-03,LVE,LV
2014-02-04,LVE,LV
2014-02-05,LVE,LV
2014-02-06,LVE,LV
2014-02-07,LVE,LV
2014-02-08,OFF,XX
2014-02-13,OFF,XX
2014-02-14,OFF,XX
2014-02-15,SCK,SK
2014-02-18,OFF,XX
2014-02-19,OFF,XX
2014-02-23,OFF,XX
2014-02-27,OFF,XX
2014-02-28,OFF,XX
2014-03-04,OFF,XX
2014-03-05,LVE,LV
2014-03-06,LVE,LV
2014-03-07,LVE,LV
2014-03-08,LVE,LV
2014-03-09,LVE,LV
2014-03-10,OFF,XX
2014-03-11,REST,REST
2014-03-15,OFF,XX
2014-03-16,REST,REST
2014-03-21,OFF,XX
2014-03-22,OFF,XX
2014-03-23,OFF,XX
2014-03-28,OFF,XX
2014-03-29,OFF,XX
2014-03-30,REST,REST
2014-04-03,OFF,XX
2014-04-04,OFF,XX
2014-04-08,REST,REST
2014-04-12,OFF,XX
2014-04-13,REST,REST
2014-04-17,OFF,XX
2014-04-18,LVE,LV
2014-04-19,LVE,LV
2014-04-20,LVE,LV
2014-04-21,LVE,LV
2014-04-22,LVE,LV
2014-04-23,OFF,XX
2014-04-24,ABS,AB
