Flight Date,Flight Number,Flight Departure,Flight Arrival,Grade,Departure Date,Arrival Date,Flight Time
2011-08-12,0719,DXB,NBO,GR2,2011-08-12 10:47:00,2011-08-12 14:23:00,04:45
2011-08-12,0720,NBO,DXB,GR2,2011-08-12 16:39:00,2011-08-12 22:33:00,05:
2011-08-14,0358,DXB,CGK,GR2,2011-08-14 11:15:00,2011-08-14 22:43:00,08:34
2011-08-16,0359,CGK,DXB,GR2,2011-08-16 00:30:00,2011-08-16 04:53:00,07:27
2011-08-24,0528,DXB,HYD,GR2,2011-08-24 15:19:00,2011-08-24 20:24:00,03:40
2011-08-24,0529,HYD,DXB,GR2,2011-08-24 21:44:00,2011-08-24 23:42:00,03:36
2011-08-26,0859,DXB,KWI,GR2,2011-08-26 21:20:00,2011-08-26 21:49:00,01:38
2011-08-26,0860,KWI,DXB,GR2,2011-08-26 23:14:00,2011-08-27 01:48:00,01:46
2011-08-27,0374,DXB,BKK,GR2,2011-08-27 23:09:00,2011-08-28 08:19:00,06:18
2011-08-29,0375,BKK,DXB,GR2,2011-08-29 10:04:00,2011-08-29 13:06:00,06:10
2011-09-23,0073,DXB,CDG,GR2,2011-09-23 08:23:00,2011-09-23 13:32:00,07:21
2011-09-24,0074,CDG,DXB,GR2,2011-09-24 15:44:00,2011-09-25 00:37:00,06:57
2011-10-03,0803,DXB,JED,GR2,2011-10-03 16:41:00,2011-10-03 18:20:00,02:43
2011-10-03,0804,JED,DXB,GR2,2011-10-03 20:31:00,2011-10-04 00:12:00,02:44
2011-10-05,0761,DXB,JNB,GR2,2011-10-05 04:39:00,2011-10-05 10:36:00,08:09
2011-10-06,0762,JNB,DXB,GR2,2011-10-06 14:03:00,2011-10-06 23:52:00,08:
2011-10-09,0073,DXB,CDG,GR2,2011-10-09 08:22:00,2011-10-09 13:22:00,07:10
2011-10-10,0074,CDG,DXB,GR2,2011-10-10 15:35:00,2011-10-11 00:02:00,06:30
2011-10-12,0073,DXB,CDG,GR2,2011-10-12 08:22:00,2011-10-12 13:24:00,07:09
2011-10-13,0074,CDG,DXB,GR2,2011-10-13 15:34:00,2011-10-13 23:49:00,06:21
2011-10-18,0306,DXB,PEK,GR2,2011-10-18 04:27:00,2011-10-18 15:35:00,07:14
2011-10-19,0307,PEK,DXB,GR2,2011-10-19 23:52:00,2011-10-20 03:51:00,08:11
2011-10-23,0761,DXB,JNB,GR2,2011-10-23 04:38:00,2011-10-23 10:34:00,08:09
2011-10-24,0762,JNB,DXB,GR2,2011-10-24 13:59:00,2011-10-25 00:17:00,08:28
2011-11-04,0017,DXB,MAN,GR2,2011-11-04 08:01:00,2011-11-04 11:37:00,07:43
2011-11-05,0018,MAN,DXB,GR2,2011-11-05 13:17:00,2011-11-06 00:55:00,07:42
2011-11-10,0306,DXB,PEK,GR2,2011-11-10 03:48:00,2011-11-10 14:23:00,06:40
2011-11-11,0307,PEK,DXB,GR2,2011-11-11 23:01:00,2011-11-12 03:49:00,08:51
2011-11-15,0017,DXB,MAN,GR2,2011-11-15 07:57:00,2011-11-15 11:09:00,07:20
2011-11-16,0018,MAN,DXB,GR2,2011-11-16 13:16:00,2011-11-17 00:10:00,06:58
2011-11-24,0322,DXB,ICN,GR2,2011-11-24 03:39:00,2011-11-24 16:26:00,07:54
2011-11-25,0323,ICN,DXB,GR2,2011-11-25 23:58:00,2011-11-26 06:02:00,11:08
2011-12-14,0761,DXB,JNB,GR2,2011-12-14 04:55:00,2011-12-14 10:42:00,07:56
2011-12-15,0762,JNB,DXB,GR2,2011-12-15 14:10:00,2011-12-16 00:27:00,08:22
2011-12-17,0049,DXB,MUC,GR2,2011-12-17 09:51:00,2011-12-17 13:10:00,06:26
2011-12-18,0050,MUC,DXB,GR2,2011-12-18 14:22:00,2011-12-18 23:16:00,05:58
2011-12-25,0302,DXB,PVG,GR2,2011-12-25 03:29:00,2011-12-25 14:52:00,07:28
