11-Jul-2011,0975/DXBIKA,GR2,11-Jul-2011 01:01,11-Jul-2011 03:19,01:57
11-Jul-2011,0976/IKADXB,GR2,11-Jul-2011 05:40,11-Jul-2011 07:04,01:57
12-Jul-2011,OFF-XX,,,,
13-Jul-2011,0029/DXBLHR,GR2,13-Jul-2011 09:51,13-Jul-2011 13:55,07:14
14-Jul-2011,0030/LHRDXB,GR2,14-Jul-2011 17:05,15-Jul-2011 02:53,06:59
16-Jul-2011,OFF-XX,,,,
17-Jul-2011,OFF-XX,,,,
18-Jul-2011,0502/DXBBOM,GR2,18-Jul-2011 13:22,18-Jul-2011 18:01,03:19
18-Jul-2011,0503/BOMDXB,GR2,18-Jul-2011 19:35,18-Jul-2011 20:58,02:57
19-Jul-2011,OFF-XX,,,,
20-Jul-2011,0372/DXBBKK,GR2,20-Jul-2011 09:53,20-Jul-2011 19:26,06:45
21-Jul-2011,0373/BKKDXB,GR2,21-Jul-2011 21:26,22-Jul-2011 00:47,06:27
23-Jul-2011,OFF-XX,,,,
24-Jul-2011,0977/DXBIKA,GR2,24-Jul-2011 19:02,24-Jul-2011 21:20,01:57
24-Jul-2011,0978/IKADXB,GR2,24-Jul-2011 23:01,25-Jul-2011 00:41,02:15
26-Jul-2011,0765/DXBJNB,GR2,26-Jul-2011 14:49,26-Jul-2011 21:13,08:35
27-Jul-2011,0766/JNBDXB,GR2,27-Jul-2011 22:35,28-Jul-2011 08:26,08:
29-Jul-2011,OFF-XX,,,,
30-Jul-2011,OFF-XX,,,,
31-Jul-2011,0418/DXBBKK,GR2,31-Jul-2011 09:04,31-Jul-2011 18:12,06:13
01-Aug-2011,0418/BKKSYD,GR2,01-Aug-2011 20:17,02-Aug-2011 07:53,08:42
03-Aug-2011,0418/SYDCHC,GR2,03-Aug-2011 09:39,03-Aug-2011 14:34,03:01
03-Aug-2011,0419/CHCSYD,GR2,03-Aug-2011 16:00,03-Aug-2011 16:57,03:04
05-Aug-2011,0419/SYDBKK,GR2,05-Aug-2011 18:54,06-Aug-2011 01:11,09:28
07-Aug-2011,0419/BKKDXB,GR2,07-Aug-2011 02:31,07-Aug-2011 05:21,05:54
08-Aug-2011,OFF-XX,,,,
09-Aug-2011,OFF-XX,,,,
10-Aug-2011,0606/DXBKHI,GR2,10-Aug-2011 10:13,10-Aug-2011 13:07,02:01
10-Aug-2011,0607/KHIDXB,GR2,10-Aug-2011 14:22,10-Aug-2011 15:09,01:52
11-Aug-2011,OFF-XX,,,,
12-Aug-2011,0719/DXBNBO,GR2,12-Aug-2011 10:47,12-Aug-2011 14:23,04:45
12-Aug-2011,0720/NBODXB,GR2,12-Aug-2011 16:39,12-Aug-2011 22:33,05:
13-Aug-2011,OFF-XX,,,,
14-Aug-2011,0358/DXBCGK,GR2,14-Aug-2011 11:15,14-Aug-2011 22:43,08:34
16-Aug-2011,0359/CGKDXB,GR2,16-Aug-2011 00:30,16-Aug-2011 04:53,07:27
17-Aug-2011,OFF-XX,,,,
18-Aug-2011,LVE-LV,,,,
19-Aug-2011,LVE-LV,,,,
20-Aug-2011,LVE-LV,,,,
21-Aug-2011,LVE-LV,,,,
22-Aug-2011,LVE-LV,,,,
23-Aug-2011,OFF-XX,,,,
24-Aug-2011,0528/DXBHYD,GR2,24-Aug-2011 15:19,24-Aug-2011 20:24,03:40
24-Aug-2011,0529/HYDDXB,GR2,24-Aug-2011 21:44,24-Aug-2011 23:42,03:36
26-Aug-2011,0859/DXBKWI,GR2,26-Aug-2011 21:20,26-Aug-2011 21:49,01:38
26-Aug-2011,0860/KWIDXB,GR2,26-Aug-2011 23:14,27-Aug-2011 01:48,01:46
27-Aug-2011,0374/DXBBKK,GR2,27-Aug-2011 23:09,28-Aug-2011 08:19,06:18
29-Aug-2011,0375/BKKDXB,GR2,29-Aug-2011 10:04,29-Aug-2011 13:06,06:10
30-Aug-2011,OFF-XX,,,,
31-Aug-2011,OFF-XX,,,,
01-Sep-2011,SCK-SK,,,,
02-Sep-2011,REST-REST,,,,
03-Sep-2011,OFF-XX,,,,
04-Sep-2011,TRG-380B,,,,
05-Sep-2011,TRG-380B,,,,
06-Sep-2011,TRG-380B,,,,
07-Sep-2011,TRG-380B,,,,
08-Sep-2011,TRG-380B,,,,
09-Sep-2011,OFF-XX,,,,
10-Sep-2011,OFF-XX,,,,
11-Sep-2011,TRG-380B,,,,
12-Sep-2011,TRG-380B,,,,
13-Sep-2011,TRG-380B,,,,
14-Sep-2011,TRG-380B,,,,
15-Sep-2011,TRG-380B,,,,
16-Sep-2011,OFF-XX,,,,
17-Sep-2011,OFF-XX,,,,
18-Sep-2011,OFF-XX,,,,
